"Aika";"Kilpailunimi";"Paikka";"Laji";"Järjestäjä";"Lisätiedot"
"19.06.2025";"Yöpyöräily";"Oulu";"Maantie";"Terva-ajot";"https://terva-ajot.sporttisaitti.com/yopyoraily-19-6-2025/
Kuntoajo.
Ohjattuja ajoryhmiä; keskivauhti 25km/h, 30km/h sekä 35km/h"
"20.06.2025";"Continental Ahvenisto GP";"Hämeenlinna";"Maantie";"Motion Finland ry";"Kilpailun ennakkoilmoittautuminen osoitteesta  https://docs.google.com/forms/d/e/1FAIpQLScwQuq5kp1TRRzCx3dSk281NfpPb2M_A4DoD-wEs7aVREp4-g/viewform?us"
"28.06.2025";"Turku 6hrs";"Turku";"Ratapyöräily";"Turun Urheiluliitto";"https://www.ratapyoraily.info/cup2

Kilpailu ei vaadi lisenssiä."
"28.06.2025";"Tour de Kainuu";"Sotkamo";"Maantie";"KainuunLiikuntary";"Yhteistyössä Kainuun Pyöräilijät ry kanssa.
Lisätietoja ja ilmoittautumaan: www.tourdekainuu.fi"
"01.07.2025";"Sora-Strava Jyväskylän seudulla";"Jyväskylä";"Gravel";"JYPS";"Keski-Suomen aluecupin graveltapahtuma Stravan avulla Keski-Suomen sorateille luoduilla segmenteillä.

http://www.jyps.fi/sorastrava"
"05.07.2025";"BMX-SM ja ISM";"Turku";"BMX";"BMX Turku";""
"05.07.2025";"Häähni MTB";"Jyväskylä";"MTB XCM";"JYPS";"Keski-Suomen aluecupin maastopyöräilytapahtuma Hankasalmen Häähnillä.

https://www.jyps.fi/haahnimtb"
"05.07.2025";"Cycli XCC";"Seinäjoki";"MTB XCC";"Rideep";""
"06.07.2025";"Cycli XCO";"Seinäjoki";"MTB XCO";"Rideep";""
"06.07.2025";"BMX Racing Cup";"Turku";"BMX";"BMX Turku";"www.bmxturku.fi"
"12.07.2025";"Ylläs Enduro SM 2025";"Lahti";"Enduro";"Lahden Pyöräilijät";"http://ski.yllas.fi/endurosm

EDR SM luokat
EDR-E (sähköpyörät) SM-luokat
EDR ikäluokkien SM
Avoimet harrastajasarjat (ilman lisenssiä)"
"12.07.2025";"Enduro-SM";"Kolari";"Enduro";"Lahden Pyöräilijät";""
"12.07.2025";"Kokkola MTB Weekend";"Kokkola";"MTB XCC";"Gamlakarleby IF";"MTB-Cupin ja Kultaisen Kammen cupin kilpailu"
"12.07.2025";"Trialin Suomen Cup";"Jyväskylä";"Trial";"Keski-Suomen Fillari-Trial";"https://www.fillaritrial.com/"
"13.07.2025";"11. Seutulan Kierros 2025";"Vantaa";"Maantie";"Cycle Club Helsinki";"https://www.cch.fi/events/11-seutulan-kierros

54/108 km kuntopyöräily sunnuntaisessa kesäillassa"
"13.07.2025";"Kokkola MTB Weekend XCO";"Kokkola";"MTB XCO";"Gamlakarleby IF";"MTB-Cupin ja Kultaisen Kammen Cupin XCO-kilpailu"
"17.07.2025";"Enduro Cup osakilpailu 2: Levi Midnight Enduro";"Kittilä";"Enduro";"Nifedir";"Järjestäjä: https://royalenduro.tapahtumiin.fi/fi/"
"18.07.2025";"XCE-SM";"Rovaniemi";"MTB XCE";"Ounaksen Pyörä-Pojat";""
"19.07.2025";"XCO-SM";"Rovaniemi";"MTB XCO";"Ounaksen Pyörä-Pojat";""
